causality_pair,x_variable,y_variable,best_lag,f_statistic,p_value,significant,lag_1_f_stat,lag_1_p_value,lag_2_f_stat,lag_2_p_value,lag_3_f_stat,lag_3_p_value,lag_4_f_stat,lag_4_p_value,lag_5_f_stat,lag_5_p_value
net_flow → exchange_outflow,net_flow,exchange_outflow,2,10.505891362663762,2.8412942120167594e-05,True,9.583216508555669,0.0019820485977823906,10.505891362663762,2.8412942120167594e-05,7.523554062662265,5.161379014312668e-05,5.512592797202621,0.00020266639033627792,5.249250977943712,8.370723633933179e-05
exchange_inflow → exchange_outflow,exchange_inflow,exchange_outflow,2,10.505891362663762,2.8412942120167594e-05,True,9.583216508555669,0.0019820485977823906,10.505891362663762,2.8412942120167594e-05,7.523554062662265,5.161379014312668e-05,5.512592797202621,0.00020266639033627792,5.249250977943712,8.370723633933179e-05
net_flow_lag3 → whale_volume_lag3,net_flow_lag3,whale_volume_lag3,4,9.878631894094454,6.141099524009608e-08,True,0.620773179648089,0.4308233288737038,13.116685814027255,2.1314082616452894e-06,9.911082023346479,1.6837045785548264e-06,9.878631894094454,6.141099524009608e-08,7.774773507114568,2.807246596811207e-07
net_flow_lag1 → whale_volume_lag1,net_flow_lag1,whale_volume_lag1,4,9.870899088546647,6.2309556850952e-08,True,0.6749328865956475,0.41140334532715295,13.131520978760484,2.100296537207594e-06,9.86689888261213,1.7941588963259267e-06,9.870899088546647,6.2309556850952e-08,7.753911553466666,2.9443961026013806e-07
net_flow → whale_volume_usd,net_flow,whale_volume_usd,4,9.839405274041733,6.610677216780519e-08,True,0.6730971109784432,0.412040089451025,13.114951040924266,2.135076346254614e-06,9.846106092779838,1.8486144934856645e-06,9.839405274041733,6.610677216780519e-08,7.739046578416688,3.0461750917038936e-07
net_flow_lag6 → whale_volume_lag6,net_flow_lag6,whale_volume_lag6,4,9.801895293079985,7.093183539408629e-08,True,0.5897779007268784,0.44256639948622767,12.99508037194254,2.4044514192318415e-06,9.832807202137893,1.8843060246937904e-06,9.801895293079985,7.093183539408629e-08,7.694455859074395,3.372996844943867e-07
exchange_outflow → exchange_inflow,exchange_outflow,exchange_inflow,5,9.517026585165993,5.103690351944076e-09,True,19.293325481083816,1.1603951679172593e-05,18.123757945264607,1.502796751938111e-08,13.361623756370136,1.16247620807893e-08,10.005960044323706,4.83443353549439e-08,9.517026585165993,5.103690351944076e-09
net_flow → exchange_inflow,net_flow,exchange_inflow,5,9.51702658516591,5.103690351944891e-09,True,19.293325481083816,1.1603951679172593e-05,18.123757945264607,1.502796751938111e-08,13.36162375637027,1.1624762080787276e-08,10.005960044323809,4.8344335354934105e-08,9.51702658516591,5.103690351944891e-09
fear_greed_index → net_flow_lag3,fear_greed_index,net_flow_lag3,2,9.497385982899475,7.736697940512524e-05,True,3.5341374894066195,0.06021592939173503,9.497385982899475,7.736697940512524e-05,6.552990664235235,0.00020571402111637762,5.639826051506472,0.00016073828923921662,5.051164607201955,0.0001297145183827689
net_flow_lag3 → exchange_inflow,net_flow_lag3,exchange_inflow,4,8.629508682521678,6.379491727827407e-07,True,1.4750927784944903,0.22464096136290426,0.9341853999404379,0.39302195888557045,8.499804801332767,1.2771586457456645e-05,8.629508682521678,6.379491727827407e-07,5.228717260000217,8.760249564669111e-05
whale_volume_usd → net_flow_lag6,whale_volume_usd,net_flow_lag6,5,8.547917119011913,4.767584852294411e-08,True,1.5855766839141703,0.20805873199627556,10.026017452107332,4.575966188270545e-05,12.017276476102422,8.097948981361469e-08,9.631108260004721,9.774436060987819e-08,8.547917119011913,4.767584852294411e-08
exchange_outflow → whale_activity,exchange_outflow,whale_activity,3,8.276178187218477,1.759396784596803e-05,True,14.99904585936923,0.00010989811123479158,10.832712435617943,2.053991249728079e-05,8.276178187218477,1.759396784596803e-05,6.1774327128378035,6.011994199632014e-05,4.973227591204913,0.0001540357736236223
